,VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,SalesToPurchaseRatio,UnitPurchasePrice,OrderSize,StockTurnover,UnsoldInventoryValue
101,3252,E & J GALLO WINERY,14622,La Marca Prosecco,8.66,12.99,750.0,46387.0,401711.42000000115,45608.0,558344.6900000039,124562.16000000459,5114.59999999997,61966.909999999996,156633.27000000275,28.053149390567615,1.3899149045849937,8.660000000000025,Large,0.983206501821631,6746.14
102,8004,SAZERAC CO INC,3246,Bentley's Vodka,6.71,8.79,1750.0,59841.0,401533.110000004,59245.0,520763.54999999364,136913.04000001107,108849.57999999377,50293.62000000002,119230.43999998964,22.89531208549275,1.2969380034438218,6.710000000000067,Large,0.9900402733911532,3999.16
103,17035,PERNOD RICARD USA,8339,The Glenlivet 12 Yr Single,30.21,42.99,750.0,13250.0,400282.49999999977,12463.0,544906.3700000012,335249.38000001374,9818.559999999949,123780.21999999997,144623.8700000014,26.541049611881228,1.3613045036942697,30.209999999999983,Large,0.9406037735849057,23775.27
104,2555,DISARONNO INTERNATIONAL LLC,5312,Amaretto DiSaronno,14.7,21.99,750.0,27186.0,399634.20000000164,26178.0,571763.2200000044,228705.95000000726,20614.869999999682,5861.030000000001,172129.02000000275,30.104947988784836,1.4307164401845538,14.70000000000006,Large,0.9629220922533657,14817.599999999999
105,3960,DIAGEO NORTH AMERICA INC,1869,Oban 14-Yr Single Malt,40.14,54.99,750.0,9892.0,397064.8799999979,9219.0,549291.8099999996,302801.3300000075,7262.519999999958,257032.07000000007,152226.93000000168,27.713307795359594,1.383380494391754,40.13999999999979,Large,0.9319652244237768,27014.22
106,8112,MOET HENNESSY USA INC,8622,Dom Perignon,87.09,145.99,750.0,4544.0,395736.9599999989,4127.0,589317.7300000002,312139.21000000334,459.15000000000225,48347.26,193580.7700000013,32.848285423213255,1.4891652525960726,87.08999999999976,Large,0.9082306338028169,36316.53
107,3960,DIAGEO NORTH AMERICA INC,1868,Lagavulin Single Malt 16-Yr,49.62,66.99,750.0,7821.0,388078.02000000176,7644.0,550740.559999999,334191.7300000058,6022.609999999936,257032.07000000007,162662.53999999724,29.535238879082655,1.419149066983996,49.620000000000225,Large,0.9773686229382432,8782.74
108,480,BACARDI USA INC,508,Bacardi Superior Rum,9.77,12.99,1000.0,38957.0,380609.8899999946,38335.0,522309.1500000029,123060.87999999983,40251.7499999996,89286.26999999999,141699.26000000827,27.12938496291085,1.3722952653700362,9.769999999999861,Large,0.984033678157969,6076.94
109,3924,HEAVEN HILL DISTILLERIES,1180,Evan Williams Black Label B,13.07,16.99,1750.0,29070.0,379944.90000000445,28291.0,543425.0900000033,233334.65000000832,51982.140000000145,14069.869999999995,163480.1899999989,30.0832981414233,1.430273415961096,13.070000000000153,Large,0.973202614379085,10181.53
110,8112,MOET HENNESSY USA INC,4673,Hennessy VS Cognac,46.66,69.99,1750.0,8132.0,379439.1200000025,8118.0,549271.8199999998,225142.98000000164,14917.300000000178,48347.26,169832.69999999733,30.919609165457896,1.4475887989619949,46.66000000000031,Large,0.9982784062961141,653.24
